@relation 'ARFF for bata_2014.txt'

@attribute tweet string
@attribute @@class@@ {T, N, F, A}
% T = (True) Positive tweet
% N = Neutral tweet
% F = (False) Negative Tweet
% A = Alert tweet

@data
'@Batavierenrace het gaat er om dat duidelijk zichtbaar is dat het een stopcontact is. Is bij dat soort dingen nog wel eens niet het geval.',F
'@Batavierenrace en dan nog is het makkelijk om het te laten lijken alsof het een gewoon stopcontact is, en toch de telefoon leeg te trekken',F
'@Batavierenrace WTF? De app gaf een code rood notificatie met "Test uit de trein kdfsdkdsk". Aan het proberen of het systeem nog werkt?',F
'Die Batavierenrace gaat dus ook een groot drama worden. Als je niet eens in staat bent een degelijk team af te vaardigen wordt het niks..',F
'Is de @Batavierenrace dit jaar nog makkelijk te volgen via de mobiel (geen Android-telefoon)? #dtv #batavierenrace',F
'Ik zou een moord doen voor ff een Bata update @GSTV_Tritanium #Bata2013',F
'Can\'t sleep in a gym in a sleeping bag, without pillow and with snoring people!!! @Batavierenrace http://t.co/CjtEw7C1jW',F
'RT @BGrondelle: Can\'t sleep in a gym in a sleeping bag, without pillow and with snoring people!!! @Batavierenrace http://t.co/CjtEw7C1jW',F
'tis knetterdruk op het industrieterrein #Batavierenrace http://t.co/vV2e1GmMQq',F
'#batavierenrace, lui koop een kaart, of beter een Tom Tom !',F
'Druk in de winkel, en die batavierenrace is nog niet eens gaande hier #hoptjop',F
'Wat een herrie.. Zo kan ik niet slapen #batavierenrace',F
'Wakker door batavierenrace',F
'Herstart #batavierenrace Barchem over kwartier, 20 min. later dan gepland',F
'Mag vanmiddag herstart #batavierenrace verzorgen. Gemengde gevoelens. Vandaag ook verjaardag @HalloHierManon. Moet dus ff feestje verlaten.',F
'RT @PGWelman: Mag vanmiddag herstart #batavierenrace verzorgen. Gemengde gevoelens. Vandaag ook verjaardag @HalloHierManon. Moet dus ff fee…',F
'RT @PGWelman: Mag vanmiddag herstart #batavierenrace verzorgen. Gemengde gevoelens. Vandaag ook verjaardag @HalloHierManon. Moet dus ff fee…',F
'@Batavierenrace WTF? De app gaf een code rood notificatie met "Test uit de trein kdfsdkdsk". Aan het proberen of het systeem nog werkt?',F
'@Batavierenrace In het deelnemersboekje staat dat @Aeolusrun vorig jaar 2e was, dit lijkt me niet te kloppen :)',F
'Die Batavierenrace gaat dus ook een groot drama worden. Als je niet eens in staat bent een degelijk team af te vaardigen wordt het niks..',F
'batavierenrace? no thank you',F
'De herstarts zijn een half uur opgeschoven. Reden: de bewegwijzering was niet overal in orde. http://t.co/jT9KaIQU3i #Bata14”',F

'Pijnlijke enkel tijdens lopen #Batavierenrace? Verstuikt? Koelen! Zoek #EHBO http://t.co/GblZ31gwhT',A
'@Batavierenrace het wc papier is op bij wp9',A
'Herstart Barchem uitgesteld omdat de medische ondersteuning nog niet gereed is. #batavierenrace',A
'De herstart in Barchem wordt iets uitgesteld omdat niet alle EHBO-medewerkers op tijd op hun post kunnen zitten #batavierenrace',A
'#HLM | #NieuwerkerkAdIjssel | Prio 1 EUROPALAAN NAY Wegvervoer ongeval letsel | http://t.co/8PXn0azJVA #p2000',A
'Opschaling | #Amstelveen | BR 2 BRAND GEBOUW OVERIG (+Inc-net: 2+) (MIDDEL BRAND) , Amsterdamseweg  AMSTELVE | http://t.co/ovT0lKcUwJ #p2000',A
'Opschaling | #Amstelveen | BR 2 BRAND GEBOUW OVERIG (+Inc-net: 2+) (MIDDEL BRAND) , Amsterdamseweg  AMSTELVE | http://t.co/KsgQLvnAXz #p2000',A
'Opschaling | #Amstelveen | BR 2 Aflossing (+Inc-net: 2+) (MIDDEL BRAND) , Amsterdamseweg  AMSTELVEEN [ ] | http://t.co/7gNssgUidR #p2000',A
'HV 2 DIENSTVERLENING (+Inc,net: 1+) (AFHIJSEN ZONDER SPOED) (ASSISTENTIE: CPA) , Willem de Zwijgerlaan 197 ... http://t.co/En8nOnLRGz #p2000',A
'#BBN | #Haaren | Verkeersongeval letsel N65 R 11,0 HAAREN | http://t.co/Supq30qWzy #p2000',A
'03:09 P 1 Brand gezondheidszorg 01-30-012 Luingaborg LUINGAWEG 23 BIERUM 013031 013033 #P2000 http://t.co/oNDwhiNnI3',A
'PRIO 1 TS221 Rotterdam Airportbaan Rotterdam Brand Wegvervoer (Kleine Brand) Vak: 5995501 #p2000 #watiserloos',A
'#BRW | #Julianadorp | Prio 1 Noorderhaven Cederhout /25 (Aak 4) Cederhout  JULIANADORP Rookmelder 4433 | http://t.co/so5zYhvab3 #p2000',A
'#BRW | #Stompetoren | PRIO 1 NOORDERVAART -N243 23 STOMPETOREN brand industrie 5731 | http://t.co/t40eRp2bPO #p2000',A
'#MON | #Zwolle | PRIO 2 Vervuild wegdek : : Westerlaan : Zwolle 1630 | http://t.co/OehOpQg7D8 #p2000',A
'PRIO 2 Vervuild wegdek : : Westerlaan : Zwolle 1630 #p2000 #watiserloos',A
'#RRM | #Brielle | aanrijding met letsel, auto-scooter, G J Van Den Boogerdweg brielle | http://t.co/CZ0P8dCJaq #p2000',A
'#RRM | #Brielle | aanrijding met letsel, auto-scooter, G J Van Den Boogerdweg brielle | http://t.co/rSU1wjaX0l #p2000',A
'#HGL | #Delft | Delft A13 R 7.7 aanrijding met letsel | http://t.co/0TMivFrEmZ #p2000',A
'#RRM | #Brielle | Letsel 1 Ruggeweg ble auto / scooter | http://t.co/PcYbYPzvl7 #p2000',A
'#RRM | #Brielle | Letsel 1 Ruggeweg ble auto / scooter | http://t.co/x555wDkf2V #p2000',A
'#HGL | #DenHaag | Den Haag Louis Couperusplein aanrijding met letsel | http://t.co/mun9Q6DflQ #p2000',A
'#HGL | #DenHaag | Den Haag Waldorpstraat thv Tango aanrijding met letsel | http://t.co/YJix1EONVW #p2000',A
'#KEN | #Zwanenburg | Letsel A9 R ZWANENBURG | http://t.co/YF80VF4ggk #p2000',A

'Oh dear, an error in our newsletter... Practice for the Batavierenrace is normally on Sunday afternoon, not Saturday!!',N
'The @Batavierenrace practice will be tonight at 19:15 at the Vindhek in the Noorderplantsoen. Dress appropriately for the dark. Temp: 10°C.',N
'Batavierenrace 2014 in Enschede: http://t.co/Cbos1t2tQN http://t.co/PhlHezigLB',N
'Lieve Donitaters, \n\nOok dit jaar wil Donitas weer meedoen met de Batavierenrace. Maar vanwege de stormloop aan... http://t.co/o2VlBCg8sN',N
'Verlenging samenwerking SUSA en Batavierenrace http://t.co/UgqQa7zQ6v #twente #twentejournaal',N
'Verlenging samenwerking SUSA en Batavierenrace http://t.co/KywNemUwOt #enschede #twente',N
'Verlenging samenwerking SUSA en Batavierenrace http://t.co/6bsIu3mSza #nieuws #provincie #nieuwsoverijssel',N
'#rutbeek #twente Verlenging samenwerking SUSA en Batavierenrace http://t.co/TMWuXwYzD4',N
'#usselo #twente Verlenging samenwerking SUSA en Batavierenrace http://t.co/DGCV3S6zsQ',N
'#boekelo  #Twente Verlenging samenwerking SUSA en Batavierenrace http://t.co/ul31E29OzF',N
'#lonneker #twente Verlenging samenwerking SUSA en Batavierenrace http://t.co/0LUtTgs7wN',N
'#enschede #twente Verlenging samenwerking SUSA en Batavierenrace http://t.co/oN4Asnaze8',N
'Batavierenrace 2014 in Enschede: http://t.co/Cbos1t2tQN http://t.co/PhlHezigLB',N
'Lopend van Lochem naar Ruurlo via Barchem, 17km in de benen. #Graafschapspad op z\'n mooist. #Batavierenrace http://t.co/4PUiHot625',T
'De nieuwe promofilm van de #Batavierenrace is nu online!! Te vinden op: http://t.co/o6c6lpvLah. Have fun!',N
'#nieuws Verlenging samenwerking SUSA en Batavierenrace http://t.co/PLW5cpKBFa #enschede',N
'Verlenging samenwerking SUSA en Batavierenrace #newslocker http://t.co/gLrV9OTD7K',N
'Weer lekker getraind voor de batavierenrace vandaag :D',T
'Eerste 5 kilometer hardlopen als voorbereiding voor de Batavierenrace zitten er weer op. Nog 2 maanden te gaan, gaat goed komen!',T
'Doe jij al mee? https://t.co/4bz9d1DLZH http://t.co/WY0Q2LD92x',N
'#SUSA heeft de samenwerking met de @Batavierenrace met 5 jaar verlengd! Artikel: http://t.co/Wuket8E2aM http://t.co/4PtgTwiQBs',N
'#SUSA heeft de samenwerking met de @Batavierenrace met 5 jaar verlengd! Artikel: http://t.co/alePTCHpr3 http://t.co/PdqApGYWdG',N
'Organiseer jij in collegejaar 2014-2015 de 43e Bata? #interesselunch #batavierenrace #bata… http://t.co/RdTJ0nh35K',N
'RT @Batavierenrace: Organiseer jij in collegejaar 2014-2015 de 43e Bata? #interesselunch #batavierenrace #bata… http://t.co/RdTJ0nh35K',N
'#SUSA #Studentenuitzendbureau verlengt samenwerking met #grootsteestafetteloopterwereld @Batavierenrace met 5 jaar!',N
'RT @Batavierenrace: Organiseer jij in collegejaar 2014-2015 de 43e Bata? #interesselunch #batavierenrace #bata… http://t.co/RdTJ0nh35K',N
'RT @SUSAbedrijven: #SUSA heeft de samenwerking met de @Batavierenrace met 5 jaar verlengd! Artikel: http://t.co/Wuket8E2aM http://t.co/4Ptg…',N
'Yeah, ingeschreven voor de @Batavierenrace namens studievereniging Lucid. =) #zinin #Bata2014',N
'RT @studentsportNL: #SUSA #Studentenuitzendbureau verlengt samenwerking met #grootsteestafetteloopterwereld @Batavierenrace met 5 jaar!',N
'Het is officieel, USOCIA gaat naar de #batavierenrace dus volg ons op Twitter voor de blazing runtijden van dit prachtteam! #USOCIA',N
'Pittig pittig pittige hardlooptraining achter de rug... #batavierenrace #tjas',N
'Hoera, in mei meedoen aan de Batavierenrace met de HCSF. Nu nog in vorm komen...',N
'Gister eerste looptraining gehad voor batavierenrace! Ging goed! #batarace2014 #Nijmegen #Enschede',N
'Ons video-team volgt twee @Batavierenrace -teams. Binnenkort het eerste filmpje op de #SUSA Facebookpagina! http://t.co/3a01WleCAG',N
'RT @SUSAstudenten: Ons video-team volgt twee @Batavierenrace -teams. Binnenkort het eerste filmpje op de #SUSA Facebookpagina! http://t.co/…',N
'@SUSAstudenten @Batavierenrace opdrukken met je handen op de bank? dat is toch wel de makkelijke manier #zogajenietwinnen',N
'Batavierenrace Promo 2014 - Busje Geregeld? http://t.co/tKXPO5QwTb',N
'De organisatie van de 42e Batavierenrace heeft voor Brookhuis Busreizen gekozen als vervoerspartner. Wij zijn... http://t.co/IP1IvvYgaJ',N
'@Batavierenrace  Heel veel succes en plezier gewenst met de organisatie van de Bata!',T
'Nieuw HanzeMag journaal met strenge #pabo, #huisjesmelker v/h jaar van @ROODGroningen en @Batavierenrace http://t.co/gcT4aiofCu #hanze',N
'De slechtste #huisbaas van Nederland, strenge pabo-opleidingen en de Batavierenrace: allemaal in het nieuwe journaal! http://t.co/O9qV3dX9GO',N
'Als hoofdsponsor lopen wij natuurlijk ook mee met de @Batavierenrace Ons team zit al bijna vol! #SUSA http://t.co/dMJzKjmUT7',N
'Over iets meer dan 1,5 maand is de Batavierenrace....... I\'m soooo not ready.',N
'10 mei is het weer zover: De Batavierenrace! In het team van Dimensie zijn nog een aantal plaatsen vrij in zowel... http://t.co/lLzz5cqJPs',N
'RT @Dimensie: 10 mei is het weer zover: De Batavierenrace! In het team van Dimensie zijn nog een aantal plaatsen vrij in zowel... http://t.…',N
'Zaterdag 10 mei 2014, om klokslag 12 uur ‘s nachts, gaat de 42e editie van de Batavierenrace van start! Dit is... http://t.co/2ezF7Ict9Y',N
'Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/tQ8jYQwUNA',N
'RT @kwf_nl: Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/tQ8jYQwUNA',N
'RT @kwf_nl: Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/tQ8jYQwUNA',N
'Ik doe mee! Wie volgt? "@kwf_nl: Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/LkgrJANfTY"',N
'Op naar \'t podium! RT @erasmusnieuws: Na 4 jaar weer team #erasmusuni naar @Batavierenrace  http://t.co/0yVJwPuaSJ #studentensport',N
'RT @kwf_nl: Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/tQ8jYQwUNA',N
'We\'re back! After four long years of absence @Erasmussport proudly presents its\' @Batavierenrace University team\' http://t.co/2hwS7iXHtm',N
'RT @Erasmusalumni: We\'re back! After four long years of absence @Erasmussport proudly presents its\' @Batavierenrace University team\' http:/…',N
'RT @kwf_nl: Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/tQ8jYQwUNA',N
'Reageer zo snel mogelijk op Facebook! #WendoWednesday #bata #batavierenrace http://t.co/QsNZrvN5co',N
'RT @Batavierenrace: Reageer zo snel mogelijk op Facebook! #WendoWednesday #bata #batavierenrace http://t.co/QsNZrvN5co',N
'De @Batavierenrace heeft dit jaar wederom @kwf_nl als goede doel &gt; http://t.co/Hm2HKyZkNj @Atletiekunie @gem_Nijmegen @Run2DayNL',N
'De @Batavierenrace heeft dit jaar wederom @kwf_nl als goede doel: http://t.co/bNdwW6hVkN @Atletiekunie @gem_Nijmegen @SportKnowhowXL',N
'RT @SportKnowhowXL: De @Batavierenrace heeft dit jaar wederom @kwf_nl als goede doel &gt; http://t.co/Hm2HKyZkNj @Atletiekunie @gem_Nijmegen @…',N
'RT @kwf_nl: Hardloopfan? Doe mee aan de #Batavierenrace en zamel geld in voor #KWF #Bata4Live http://t.co/tQ8jYQwUNA',N
'Het #SUSA-team voor de @Batavierenrace is gevormd, ze hebben er zin in! #nuhardtrainen 7 km voor 10 mei moet lukken! http://t.co/Nyr2eIW7aY',T
'RT @SUSAstudenten: Het #SUSA-team voor de @Batavierenrace is gevormd, ze hebben er zin in! #nuhardtrainen 7 km voor 10 mei moet lukken! htt…',T
'Today\'s Batavierenrace-run will be in the Stadspark, starting at 16:00. The route: http://t.co/WT1K1cUQYD',N
'batavierenrace Heb jij je al opgegeven of geef je op? http://t.co/3Vo9fb8foj',N
'#BATA #BATAVIERENRACE #paint http://t.co/VvZjqPjRUA',N
'RT @Batavierenrace: #BATA #BATAVIERENRACE #paint http://t.co/VvZjqPjRUA',N
'NL | Er zijn nog twee plekken vrij voor de Batavierenrace, voor de lengtes 7,3 en 3,4km. Lijkt het jou leuk om 1... http://t.co/8Q5svo7u6v',N
'Genoeg redenen om deel te nemen aan de actie #bata4life! Schrijf je nu in op http://t.co/phaKWNaEk0 en doe… http://t.co/lZwcGlWvTI',N
'In mei is het dan eindelijk zover, dan vindt de 42e editie van de Batavierenrace plaats! Dit te gekke evenement... http://t.co/h5nPasalXv',N
'Yeah, dit jaar weer shinen met @Den_GWS tijdens de @Batavierenrace! En starten vanuit #Grolsch klinkt helemaal veelbelovend! #hardgaan',T
'Practice for the Batavierenrace will start at 21:00 in the Noorderplantsoen at the @Vindhek.',N
'Etappe bekend! Nummer 21: Middendorp, 8.8 kilometer #Bata #Batavierenrace #Dimensie',N
'Op 10 mei is de 42e @Batavierenrace! De organisatie zoekt nog hosts voor het begeleiden van internationale teams: http://t.co/nhmlauvVco.',N
'Aanbieding voor deelnemers en begeleiders van de @Batavierenrace! Vraag een offerte aan via http://t.co/30RWC4rKnN. http://t.co/0HqgQdeGYu',N
'Het 1 minuutje met Vincent wordt gemonteerd! #bata #batavierenrace #1minuutjemet #finalcut http://t.co/Goiuqk9wEi',N
'Ook het 1 Minuutje me Alexandra wordt gemonteerd! #bata #batavierenrace #oproepje http://t.co/b01gl2yUtW',N
'Batavierenrace: \'evenement met goed doel\', niet andersom http://t.co/CGDmcOb2lP',N
